front_x,front_y,left_x,left_y,right_x,right_y,wrist_x,wrist_y
145,328,481,331,327,407,252,179
392,511,194,181,128,161,67,177
137,193,510,286,331,336,320,287
138,343,482,341,335,410,283,178
229,445,343,250,234,267,41,20
243,403,347,308,214,314,35,40
200,48,493,355,249,399,135,407
301,459,274,237,174,236,70,58
410,484,177,212,98,186,64,200
201,318,465,497,249,493,165,477
263,107,478,376,131,449,50,459
258,375,344,364,184,360,51,273
172,266,480,326,293,381,218,248
244,431,334,269,218,282,29,28
370,431,212,283,100,261,58,237
348,417,236,302,113,286,71,301
334,347,268,450,81,423,35,436
292,403,296,315,162,315,50,208
461,459,130,247,38,204,56,250
243,361,372,395,215,423,55,305
215,473,343,211,252,228,53,23
47,473,489,197,393,252,420,49
187,473,366,210,275,232,102,25
186,459,374,227,275,252,106,25
403,431,180,285,69,256,57,305
176,383,419,302,275,330,148,66
215,403,376,307,243,324,60,42
137,364,483,358,337,424,286,178
488,445,103,265,12,207,56,293
165,248,486,301,296,358,227,230
201,487,349,195,266,212,84,28
413,473,173,227,88,199,67,199
390,332,188,498,9,440,33,437
132,263,504,298,343,391,345,273
215,318,449,495,240,493,130,474
414,511,175,180,110,157,49,212
243,347,384,436,226,461,58,360
229,431,348,268,230,284,41,20
142,298,494,343,331,405,294,255
376,487,206,205,127,188,83,166
271,431,309,274,192,281,29,37
174,459,385,226,285,254,118,25
9,473,504,181,427,256,457,35
139,228,509,291,334,363,316,271
116,417,467,278,351,324,336,59
265,214,416,416,141,451,26,450
216,89,486,346,220,393,108,405
80,389,505,275,390,380,464,109
285,487,280,199,199,200,97,66
404,361,173,427,14,373,48,392
348,487,231,202,149,191,119,136
390,347,189,465,14,411,42,414
327,459,251,237,152,230,109,118
503,375,57,410,17,257,64,372
390,375,192,387,38,349,56,400
249,21,481,368,147,405,44,442
243,417,341,289,215,303,29,32
215,487,338,195,255,210,58,26
299,347,314,449,114,425,38,409
390,417,195,306,73,280,55,320
446,417,137,312,22,266,56,328
440,403,140,335,18,287,52,345
49,487,476,181,389,233,408,51
279,455,294,243,192,247,48,45
440,459,149,247,57,211,47,227
116,389,486,296,363,410,365,128
66,431,499,248,389,309,426,59
441,361,126,439,10,358,41,387
413,431,170,286,60,253,54,294
215,431,362,267,245,288,55,24
33,501,477,162,396,216,439,52
117,445,444,239,339,282,308,48
51,417,504,255,408,338,450,70
101,399,492,283,369,353,397,92
227,104,469,346,198,372,89,415
261,332,370,483,163,481,40,416
136,167,506,289,330,312,313,278
104,445,457,238,351,284,347,50
328,375,265,373,107,360,55,389
384,445,199,263,97,241,64,225
274,118,480,380,114,455,32,458
207,179,458,303,231,337,205,288
474,375,94,405,8,309,52,362
299,417,287,297,162,296,58,137
74,431,495,252,382,310,416,59
454,459,136,246,44,206,47,244
313,445,265,256,158,252,86,105
262,318,377,498,160,481,44,473
263,389,332,332,184,329,37,228
426,445,160,263,59,230,38,232
242,389,355,332,212,330,45,113
143,216,507,292,328,352,312,280
305,509,259,182,187,177,120,110
459,431,126,288,22,241,49,309
470,333,72,498,13,329,38,418
92,375,500,283,381,419,471,189
412,389,169,356,29,313,59,362
251,7,481,365,130,408,21,443
285,347,331,445,132,427,39,402
285,319,339,499,116,487,30,460
278,145,467,402,116,449,27,457
243,445,331,252,222,265,39,28
461,389,116,365,9,298,54,361
370,333,218,494,23,446,36,438
273,487,290,198,209,201,84,50
348,361,244,411,73,387,45,409
460,333,87,499,13,357,39,402
285,375,313,367,153,356,50,352
272,445,303,254,196,260,33,35
468,431,117,288,15,237,55,310
328,445,252,257,145,250,72,126
261,66,480,373,133,430,48,448
427,389,152,358,18,310,55,371
258,459,311,232,212,241,33,24
441,474,149,227,65,192,40,197
101,413,484,275,363,330,380,63
216,7,484,335,199,423,77,431
32,445,505,220,415,296,456,40
334,508,238,177,168,169,122,128
130,431,442,258,331,295,276,49
277,473,290,217,201,219,60,46
