front_x,front_y,left_x,left_y,right_x,right_y,wrist_x,wrist_y
273,459,301,255,196,249,384,30
190,487,361,203,276,218,434,24
10,459,507,185,434,263,493,46
150,473,400,214,309,238,483,13
131,347,507,406,331,463,499,203
440,488,155,235,71,190,191,25
173,502,366,184,290,202,449,23
257,160,292,439,62,383,416,373
158,361,472,387,296,428,500,149
346,18,224,385,115,104,26,83
216,361,404,397,224,419,448,167
51,473,483,193,393,242,488,29
446,375,125,410,10,295,73,169
145,445,420,247,313,275,493,17
108,361,509,370,357,430,497,162
356,48,217,376,72,112,34,83
75,403,509,286,386,343,492,72
272,311,356,502,124,495,397,386
262,318,373,502,142,498,398,351
429,375,140,413,11,302,88,190
496,487,106,244,18,182,127,30
89,389,509,310,374,367,493,86
393,200,183,397,7,331,57,158
65,431,500,248,389,296,492,38
301,50,271,425,69,337,212,278
242,473,323,229,230,231,407,13
122,389,482,321,338,364,499,80
150,508,381,174,309,197,455,23
60,459,486,215,388,260,492,31
310,454,269,250,165,237,301,30
313,289,281,375,90,373,291,80
48,501,465,164,390,210,481,25
385,414,200,314,72,276,208,28
228,310,425,503,187,499,458,340
389,288,200,363,11,330,89,180
325,412,264,324,127,305,282,53
459,460,134,272,33,218,125,25
439,427,147,317,25,263,109,22
108,506,414,171,341,202,478,26
150,403,444,308,309,341,498,68
116,488,418,190,337,221,488,18
159,473,392,215,301,238,471,17
179,431,398,275,279,296,467,25
242,159,394,437,81,404,458,391
173,417,413,294,285,318,482,55
292,7,284,427,109,152,160,162
358,166,238,416,11,377,126,154
164,403,430,311,293,340,492,73
144,389,460,328,314,366,502,84
50,417,509,254,408,322,493,70
117,417,465,282,341,321,498,48
347,81,233,401,38,351,94,142
474,347,81,477,12,288,24,212
236,473,328,227,235,232,409,13
201,375,410,365,245,389,461,120
242,347,382,439,184,453,410,226
367,410,217,319,85,285,231,36
201,389,401,341,248,362,458,93
159,389,445,332,297,365,500,90
214,487,341,207,257,216,412,19
482,332,62,499,10,292,13,259
265,222,296,443,84,411,380,367
207,375,404,368,238,390,453,130
418,487,173,235,87,193,191,27
214,333,429,465,217,490,465,244
386,431,199,305,79,268,211,25
35,501,477,161,400,210,484,41
242,399,352,329,207,337,403,77
215,319,442,499,209,498,474,299
94,487,437,189,355,225,493,20
246,203,348,445,91,411,431,381
277,118,271,438,34,358,338,355
144,375,472,355,313,396,502,112
356,487,227,230,138,206,255,31
315,492,258,205,176,191,308,28
88,445,469,236,366,275,495,24
273,488,293,215,207,211,385,28
188,417,399,296,269,317,465,53
475,333,70,498,11,294,14,253
61,445,495,231,390,278,491,43
373,61,200,376,73,117,23,81
48,487,475,178,393,225,485,26
132,417,450,285,325,320,499,45
271,91,281,427,40,345,346,345
482,361,79,443,12,275,22,168
460,403,120,356,9,275,79,32
285,148,282,445,31,385,326,349
321,378,271,327,123,326,284,58
245,431,336,285,213,289,399,35
146,487,397,197,313,222,482,15
230,417,358,302,225,312,408,56
432,445,157,290,46,241,137,28
255,487,308,213,223,214,399,22
89,469,452,209,361,246,494,18
103,441,459,244,352,281,496,24
398,466,189,251,92,214,201,27
461,389,114,378,9,277,61,104
243,389,356,347,202,354,401,107
437,469,155,259,59,213,178,18
402,108,160,397,53,122,10,74
414,417,171,327,41,280,139,173
174,319,497,495,267,498,500,284
474,361,86,443,10,284,30,181
117,347,509,406,348,467,497,224
48,431,509,239,406,299,493,55
243,318,400,501,172,501,423,322
489,347,57,484,12,285,22,211
131,460,424,228,325,258,493,17
174,445,394,253,285,274,468,22
294,158,285,448,34,387,302,340
216,459,351,241,250,251,413,21
173,361,454,390,277,426,499,156
343,34,233,385,113,108,42,86
109,473,432,206,343,239,493,17
251,399,342,331,197,336,396,74
372,269,225,384,9,373,125,159
201,473,357,222,265,235,424,20
33,487,487,173,405,226,487,22
244,417,343,306,210,311,399,57
236,310,412,502,177,497,446,357
75,487,454,184,372,224,486,24
202,347,433,431,236,460,477,202
216,375,393,367,227,386,441,131
187,445,383,255,273,273,454,22
474,375,94,415,9,280,39,167
59,501,459,168,382,211,483,32
131,431,442,264,326,296,498,25
426,417,158,329,29,277,135,75
469,431,119,312,8,248,86,20
159,431,416,271,299,297,489,29
320,350,274,347,114,331,281,50
424,352,138,439,11,311,81,207
427,389,147,368,10,299,90,193
